ID Year Sex Age Mass BL TL Phi RhoZ FitnessTot
CN06-136 2007 Female A 38.6430975098692 0.116 58 0 0 0
CN06-136 2006 Female J 25.6666666666667 NA 48 1 3 4
CN06-137 2006 Male J 26.6666666666667 NA 41 0 0 0
CN06-138 2006 Male J 27.6666666666667 NA 45 0 0 0
CN06-140 2006 Male J 20 NA 39 0 0 0
CN06-141 2006 Female J 25.3333333333333 NA 42 0 0 0
CN06-142 2006 Female J 22.3333333333333 NA 41 0 0 0
CN06-143 2006 Female J 25 NA 45 0 0 0
CN06-145 2006 Female J 29.5714285714286 NA 49 0 0 0
CN06-146 2006 Male J 26.6666666666667 NA 44 0 0 0
CN06-147 2008 Female A 45.1696530645543 0.121 63 0 0 0
CN06-147 2007 Female A 40.6903187375821 0.1164 61 1 0 1
CN06-147 2006 Female J 27.75 NA 48 1 5 6
CN06-148 2006 Female A 37.8539859470915 NA 58.5 0 0 0
CN06-150 2006 Female A 40.4399138221829 NA 59.5 0 0 0
CN06-151 2006 Female J 27.5 NA 45.5 0 0 0
CN06-152 2006 Male J 28 NA 41.5 0 0 0
CN06-153 2006 Female J 24 NA 46 0 0 0
CN06-154 2007 Female A 46.1334288495854 0.12175 59.5 0 0 0
CN06-154 2006 Female J 26 NA 46 1 6 7
CN06-155 2006 Male J 26 NA 44 0 0 0
CN06-156 2006 Female J NA NA 50 0 0 0
CN06-157 2006 Female J 31.25 NA 47 1 4 5
CN06-157 2008 Female A 40.7716163554114 0.12 59.25 0 0 0
CN06-157 2007 Female A 39.6508180044854 0.1172 58.8 1 2 3
CN06-159 2006 Male J 31 NA 57 1 2 3
CN06-159 2008 Male A 43.2716163554114 0.12025 60.4 0 0 0
CN06-159 2007 Male A 36.7496249820478 0.116666666666667 59.6666666666667 1 2 3
CN06-160 2006 Male J 28.75 NA 45 0 0 0
CN06-161 2006 Female J 21 NA 42 0 0 0
CN06-162 2006 Male J 30 NA 48 0 0 0
CN06-164 2006 Female J 25.3333333333333 NA 39.5 1 4 5
CN06-164 2007 Female A 40.1854782809592 0.1125 60.5 0 0 0
CN06-165 2006 Male J 24.5 NA 42 0 0 0
CN06-166 2006 Female J 23 NA 40 0 0 0
CN06-167 2006 Female J 29.6666666666667 NA 54 0 0 0
CN06-168 2006 Female J 20.5 NA 37 0 0 0
CN06-169 2007 Male A 40.3428527107405 0.116333333333333 62 0 0 0
CN06-169 2006 Male J 24.5 NA 47.25 1 8 9
CN06-170 2006 Female J 31.25 NA 48.5 0 0 0
CN06-171 2006 Female J 23.5 NA 41 0 0 0
CN06-172 2006 Male J 26.5 NA 53 0 0 0
CN06-173 2006 Female J 26.5 NA 37 0 0 0
CN06-174 2006 Male J 23 NA 39 0 0 0
CN06-175 2006 Female J 37.75 NA 51 0 0 0
CN06-176 2006 Male J 30 NA 50 0 0 0
CN06-177 2006 Male J 17.5 NA 41 0 0 0
CN06-178 2006 Female J 28.25 NA 45 0 0 0
CN06-179 2006 Male J 26.6666666666667 NA 49 1 12 13
CN06-179 2007 Male A 47.5288114023203 0.122090909090909 65.3636363636364 0 0 0
CN06-180 2006 Female J 25 NA 48 1 2 3
CN06-180 2007 Female A 36.6706631051155 0.114666666666667 54 0 0 0
CN06-181 2006 Male J 25 NA 46 0 0 0
CN06-182 2007 Female A 31.5100110531831 0.111142857142857 55.2857142857143 0 0 0
CN06-182 2006 Female J 25 NA 51 1 6 7
CN06-183 2006 Female J 27.5 NA 49 0 0 0
CN06-184 2007 Female A 36.5086561655318 0.115 62 0 0 0
CN06-184 2006 Female J 28 NA 54 1 1 2
CN06-185 2006 Female A 36.4012551531753 NA 51.5 0 0 0
CN06-186 2006 Female J 25.5 NA 49 0 0 0
CN06-187 2006 Female J 22 NA 42 1 3 4
CN06-187 2008 Female A 38.6794647598956 0.118 56.5 0 0 0
CN06-187 2007 Female A 35.0864025477647 0.11625 53.25 1 2 3
CN06-188 2006 Female J 28.5 NA 49 1 1 2
CN06-188 2007 Female A 40.3228610849452 0.114 59 0 0 0
CN06-189 2006 Male J 26 NA 50 0 0 0
CN06-190 2006 Female J 28 NA 50 0 0 0
CN06-191 2006 Male J 17 NA 33 0 0 0
CN06-192 2006 Female J 24 NA 44 0 0 0
CN06-193 2006 Male J NA NA NA 0 0 0
CN06-194 2006 Male A 32.2093938636338 NA 53 0 0 0
CN06-195 2006 Male J 22.5 NA 43 0 0 0
CN06-196 2006 Male J 27 NA 40 0 0 0
CN06-197 2006 Female J 21 NA 40.5 0 0 0
CN06-198 2007 Female A 38.0430975098692 0.1156 54.2 0 0 0
CN06-198 2006 Female J 27 NA 45 1 2 3
CN06-200 2006 Female J 25.6666666666667 NA 47 1 0 1
CN06-200 2007 Female A 31.6327751529717 0.111 56 0 0 0
CN06-201 2006 Male J 25.6666666666667 NA 44.5 1 0 1
CN06-201 2007 Male A 40.0179258716841 0.114333333333333 57.6666666666667 0 0 0
CN06-203 2006 Male J 28.5 NA 51.5 0 0 0
CN06-205 2006 Female A 41.8515974284829 NA 55 0 0 0
CN06-206 2006 Male J 30 NA 51 0 0 0
CN06-207 2006 Male J 30 NA 52 0 0 0
CN06-208 2006 Male J 25 NA 45.6666666666667 0 0 0
CN06-209 2006 Male J 25 NA 50 0 0 0
CN06-210 2006 Male J 24 NA 46 0 0 0
CN06-211 2006 Male J 26 NA 49 0 0 0
CN06-213 2006 Male J 16.6666666666667 NA 38.8333333333333 0 0 0
CN06-214 2007 Female A 34.5096984736987 0.10975 58.5 0 0 0
CN06-214 2006 Female J 28 NA 49 1 2 3
CN06-215 2006 Male J 24 NA 44 1 5 6
CN06-215 2007 Male A 44.7588582958409 0.1218 57 0 0 0
CN06-221 2006 Male J NA NA NA 0 0 0
CN06-222 2007 Female A 35.076104127376 0.11275 58.25 0 0 0
CN06-222 2006 Female J 29 NA 49 1 3 4
CN07-001 2007 Male A 41.697307100815 0.116857142857143 56 0 0 0
CN07-002 2007 Male A 41.3318088114796 0.116428571428571 56.2857142857143 0 0 0
CN07-004 2008 Female A 39.7645794525346 0.116 57.2 0 0 0
CN07-004 2007 Female A 36.0508180044854 0.1136 55 1 3 4
CN07-005 2007 Male A 32.6327751529717 0.112 57 0 0 0
CN07-006 2007 Male A 40.8698369258474 0.1205 57.5 1 0 1
CN07-006 2008 Male A 41.2251226694894 0.12225 50.5 0 0 0
CN07-007 2007 Female A 35.2430975098692 0.1132 55 0 0 0
CN07-008 2007 Male J 19.5 0.0915 46.5 0 0 0
CN07-009 2007 Male J 19 0.093 49.5 0 0 0
CN07-010 2007 Female J 26 0.099 57.3333333333333 0 0 0
CN07-012 2007 Male A 47.4056094520097 0.1232 59 0 0 0
CN07-013 2007 Male A 48.3784093875543 0.121 61.75 0 0 0
CN07-014 2007 Male A 42.0089841707283 0.115666666666667 62 0 0 0
CN07-015 2007 Male J 22 0.0915 42 0 0 0
CN07-016 2007 Male J 31.7142857142857 0.107857142857143 53.1428571428571 0 0 0
CN07-017 2007 Male J 17 0.09 37 0 0 0
CN07-018 2007 Male A 38.6561944182785 0.115 56.6666666666667 0 0 0
CN07-019 2007 Female J 16 0.075 34 0 0 0
CN07-020 2007 Male J 17 0.085 36 0 0 0
CN07-021 2007 Female A 41.4486812881457 0.109 57 0 0 0
CN07-022 2007 Female A 32.8646145561341 0.114 56.75 0 0 0
CN07-023 2007 Male A 40.0016604615618 0.113 55.3333333333333 0 0 0
